sample_id,video_id,clip_id,relative_path,source_sha256,text_sha256,container_duration_s,token_count,status
-3g5yACwYnA__13,-3g5yACwYnA,13,-3g5yACwYnA/13.mp4,aeb47627f59dce3d0a85a44ef35e4a3bc18211498e98c8c11cf60269646df24f,16bee1b5ecbd8d2632c5d48e5629380ddae687005479cd6e775fcffb79b58dd8,5.513997,20,extracted_unreviewed
-3g5yACwYnA__3,-3g5yACwYnA,3,-3g5yACwYnA/3.mp4,eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d,e34429bb59081603d60a09b558b648c0a68e8f0cd59532d1b1f62cb45ee5d0b7,14.388997,42,extracted_unreviewed
-3g5yACwYnA__2,-3g5yACwYnA,2,-3g5yACwYnA/2.mp4,0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7,3d29e4bd12105ed426b7ec516a3eafc8f4d8363f8c284ea20b5944e014777e04,9.39401,19,extracted_unreviewed
-3g5yACwYnA__9,-3g5yACwYnA,9,-3g5yACwYnA/9.mp4,b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016,edf40f3bc90720a15b5edde898ad73ac8914812e2e3d6da541110446b6376f81,8.816992,30,extracted_unreviewed
-3nNcZdcdvU__5,-3nNcZdcdvU,5,-3nNcZdcdvU/5.mp4,7ea53ad502b77be7d2ee4494dc23a9478c897792203cf887d546e83d584c1728,79c1af6a9ee4395006d8253e8a2c10d2fa1dff409dcb41389b13cd8388f6d6f5,7.867969,24,extracted_unreviewed
-HwX2H8Z4hY__2,-HwX2H8Z4hY,2,-HwX2H8Z4hY/2.mp4,920a1052c09ebd1eedba6dd1ccfecd80f56f6f0fdcdd1f6dd32b0d90bcb89358,aa56e2f7a4375e13c2521a154e4e8fe0f57919648d0ea30ce484d2ec50919afe,3.982031,14,extracted_unreviewed
-HwX2H8Z4hY__5,-HwX2H8Z4hY,5,-HwX2H8Z4hY/5.mp4,8d61b7f5840a8bd403d9bc6c3cd49029ffc4e304cf9c7834735c1a6bb5fd369d,83091121026f171a499d0396e42fa053b001e4a7958afad789966ad5dae8b5f4,5.652995,12,extracted_unreviewed
-HwX2H8Z4hY__6,-HwX2H8Z4hY,6,-HwX2H8Z4hY/6.mp4,696576dcbd0dc42cb678fa40d8a0f0f419a3072bfa7662d653756ab29bba4c46,618c798532ff33e67232ba004904c108503dd42149fdb373f27d3b768ae275b3,3.358008,11,extracted_unreviewed
-HwX2H8Z4hY__9,-HwX2H8Z4hY,9,-HwX2H8Z4hY/9.mp4,90c18e627f27a12c14e21ba24c79edf3008762b4ac26874b490ad3f888381702,3b10844995a12418048ea027d2511506787eb76a854b8fc0a40394c812dc47a6,7.733984,26,extracted_unreviewed
-NFrJFQijFE__1,-NFrJFQijFE,1,-NFrJFQijFE/1.mp4,d8fcf16c6eb51c56947ec3d0549c6f3bc7a0cf1fc5f5d89e8b38d4249a08db4f,75e12c6de3cb640beb5aac76a35cf09208da4865e50a409f075998199f2b904b,5.746,18,extracted_unreviewed
-NFrJFQijFE__2,-NFrJFQijFE,2,-NFrJFQijFE/2.mp4,a54a5c144a64f5abd26b19aafa6cea8142ee08e9385fa508fa70c934f6b616c1,e3fa55c11a999a6030adcdfc65b49fa787b504a4b2e3b643e9819463b6436fb9,6.856,20,extracted_unreviewed
-THoVjtIkeU__12,-THoVjtIkeU,12,-THoVjtIkeU/12.mp4,e2f148f4f2e74724dc13b3ce870a0ce6a06740cfc224f5a9b3d0a870b196e7d4,f66e02fa0f0d11a8a87d7ae6eb144d2983f235e0767c6e8e717ad6081831c0d9,14.896029,44,extracted_unreviewed
-THoVjtIkeU__2,-THoVjtIkeU,2,-THoVjtIkeU/2.mp4,35a6c2464ffd68dd96411edb5dc2763f0efb59f264c1d8b737e616fa6b0d1d5b,1094289c482666b9c7624027542558ecac07bc45a9c2977d3bb964c8431b64d7,4.291992,13,extracted_unreviewed
-THoVjtIkeU__6,-THoVjtIkeU,6,-THoVjtIkeU/6.mp4,efaa55ee6394032c867046690a92c29edfd825005f0a090cca5ccb763b227f64,ff0a44df1b28408b6c2cc3ac9c9ca75ba39a594ed59ec2244b25efa93ca7290f,8.097005,34,extracted_unreviewed
-UuX1xuaiiE__1,-UuX1xuaiiE,1,-UuX1xuaiiE/1.mp4,d5bbda38fcec15817d2b87bab5dcc559d6d425f7d28a82e6c32d13f14b48650c,36409a672db653d61653e4d4502ae82ccf959f80d172199022b6fa0ee66a6477,10.35,35,extracted_unreviewed
-UuX1xuaiiE__0,-UuX1xuaiiE,0,-UuX1xuaiiE/0.mp4,f578b305d53bc152702f5e771de0fcd12d1e9aaefc5cefce3d2082a417aab7c8,8e5864e1c240de55cb429cbd6230768d64e623a24c60872473907ba801977530,3.633333,14,extracted_unreviewed
-UuX1xuaiiE__3,-UuX1xuaiiE,3,-UuX1xuaiiE/3.mp4,eddb408f25bdc13e6de2fb74caeed709cb7a8f00640e7897135330437f66a2aa,da42f76b0ced73cc78ae3f0b290e2ee611d19e3556bb76d62c3c6230d4cc4b2d,4.130013,11,extracted_unreviewed
-UuX1xuaiiE__6,-UuX1xuaiiE,6,-UuX1xuaiiE/6.mp4,f0131ac00e44410fbd32c547a0d421c2791172434fc0203bb969abe14a530532,e2c054ac967686a1759bc7948266e76b60f24856b1b576db92ae86e8e7280c59,8.113997,25,extracted_unreviewed
-a55Q6RWvTA__3,-a55Q6RWvTA,3,-a55Q6RWvTA/3.mp4,15d029fc15f50b268b98f1e8abc65e45582e638c13a018d7aa74a18373275946,5fb87ab22ab30d653f463a042dfff4de8e1c86ce158ec88a819411df55941943,22.153971,84,extracted_unreviewed
-aNfi7CP8vM__7,-aNfi7CP8vM,7,-aNfi7CP8vM/7.mp4,0b6389f45bb966113c65a11998c6e7facdd24c8c42acf2e8cf32e0f2139402e1,357d31bd7a85ead03ed7bf23ff3965388e78d86c59f3558e607c4a58dd982e22,8.694987,25,extracted_unreviewed
-aqamKhZ1Ec__0,-aqamKhZ1Ec,0,-aqamKhZ1Ec/0.mp4,6f6e674bbba4353399e9e7825217f37e6d8ca1adf9675f33cf37106f31c55548,ed2e5d24b8326f2cbd41f06d9e1606746a1f9c302ad47e65723605f6fa9fed1e,10.966667,18,extracted_unreviewed
-dxfTGcXJoc__1,-dxfTGcXJoc,1,-dxfTGcXJoc/1.mp4,b5ffdc98a4a98b8f0aae55dee5fed66a43bcb129f47a250a004c1cc74e572595,7264a3b8886102eedba485807edbb00abad90e60f85c1bc21cf23395b498ebfa,16.161003,44,extracted_unreviewed
-dxfTGcXJoc__0,-dxfTGcXJoc,0,-dxfTGcXJoc/0.mp4,04bd0be907fb46c613f926fe1b06bc2c3b30881c293156510baa34a4105ade55,ea04aec85b49688311b4655200ca5363047258d662d7b7aa1155b3dc0e767090,20.5,62,extracted_unreviewed
-dxfTGcXJoc__2,-dxfTGcXJoc,2,-dxfTGcXJoc/2.mp4,46a5e523b5dd00364c99a3bcbc6fae4c80e1382a84b5b5e681c46eb074ed10f7,c699d0a24ff210a5e70956097ac4961a7553b2d75e062c316e536e3eadb0613c,16.697982,42,extracted_unreviewed
-dxfTGcXJoc__6,-dxfTGcXJoc,6,-dxfTGcXJoc/6.mp4,55c1ff86729ab21da743a5107ed07b220e41b4193cd1c0ba9f009e65c3ab0513,a835a8ff3f92a75b95e7c95daf1308a6b60b7e938cae5e893630c64c5291e076,12.735026,34,extracted_unreviewed
