sample_id,decoded_scalar_samples,nonzero_samples,peak,rms,all_zero,codec,source_sha256
-3g5yACwYnA__13,476200,476200,0.10097772628068924,0.008221090527032968,False,aac,aeb47627f59dce3d0a85a44ef35e4a3bc18211498e98c8c11cf60269646df24f
-3g5yACwYnA__2,814200,814200,0.10971659421920776,0.012461235763048662,False,aac,0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7
-3g5yACwYnA__3,1263718,1263718,0.11007091403007507,0.009528593244971243,False,aac,eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d
-3g5yACwYnA__9,767000,767000,0.14548039436340332,0.01090529593196241,False,aac,b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016
-3nNcZdcdvU__5,343476,343476,0.3545520007610321,0.03818924982706206,False,aac,7ea53ad502b77be7d2ee4494dc23a9478c897792203cf887d546e83d584c1728
-571d8cVauQ__0,440320,436224,0.1303379386663437,0.011631782129852792,False,aac,defc62e1530d9b0cd27f2acfe042b71dd84d7e8c85f1df261f04912091976088
-571d8cVauQ__5,1333166,1333166,0.12693503499031067,0.013726059817280197,False,aac,e304c03fac1f477823fe0926c4fb421b9c4e4091f85718b729afe856c24a7d3e
-6rXp3zJ3kc__8,1123490,1123490,0.5048016309738159,0.05033591801324703,False,aac,59b77a0f873b7fa95e7327b93d64bb5a4bdae84039321988ef70bba8e63ee1ae
-9y-fZ3swSY__0,595968,595840,0.4191969931125641,0.06384270654644143,False,aac,29a1fd181293cdbe24e50edcad51e3cc0f27a5824d840bcc39d453b272fb6e3c
-9y-fZ3swSY__4,235036,235036,0.7295488715171814,0.0644559914277396,False,aac,fe04a26710e85c58bdaad5a48618c7e0f742d82b0d920eb4a046c8f14a6921dc
-9y-fZ3swSY__8,433680,433680,0.44157782196998596,0.06435917991233309,False,aac,6140d031e614b62a5d8df73346fef2417c28cee3501310aa95aa40d358b4b256
-AUZQgSxyPQ__2,1976080,1976080,0.7278181910514832,0.07589637595384609,False,aac,e09034b30bb4f8fb9f9c2568afc20f2a764e327fe6ef4e13f21804eaac51bb7b
-HeZS2-Prhc__2,359453,359453,0.3105633854866028,0.041929904012256984,False,aac,edb0fa22fdfbd990c8174764af78670bd2ecad799240d35d96a1124a3cd9dc0c
-HwX2H8Z4hY__2,345376,345376,0.6532416939735413,0.04823950443151754,False,aac,920a1052c09ebd1eedba6dd1ccfecd80f56f6f0fdcdd1f6dd32b0d90bcb89358
-HwX2H8Z4hY__5,488984,488984,0.5244165658950806,0.09067217148730812,False,aac,8d61b7f5840a8bd403d9bc6c3cd49029ffc4e304cf9c7834735c1a6bb5fd369d
-HwX2H8Z4hY__6,287178,287178,0.9363458752632141,0.07527352726710025,False,aac,696576dcbd0dc42cb678fa40d8a0f0f419a3072bfa7662d653756ab29bba4c46
-HwX2H8Z4hY__9,673524,673524,0.19332346320152283,0.03572967076040035,False,aac,90c18e627f27a12c14e21ba24c79edf3008762b4ac26874b490ad3f888381702
-I_e4mIh0yE__1,656588,656588,0.5691989064216614,0.0387895062206805,False,aac,8453a966d4bd1f0179eb86a35cd34c0864a3a3bc2fa86f37783060cc0d14f5df
-I_e4mIh0yE__3,793304,793304,0.49202269315719604,0.03806873326710789,False,aac,a015f02ae51d74c42ad27e2a0831263a303f0658ac8d984819e27ad61342b23e
-MeTTeMJBNc__0,813056,808960,0.34639307856559753,0.04102316894999572,False,aac,54e2097f7bdb455d243e72254e5af7ed16160739f2f3cfd22f57d2729ec1acbe
-MeTTeMJBNc__13,463536,463536,0.3419877886772156,0.0375265279318782,False,aac,80c5d996e5d7b61c58e1fe32d706efcaf80c8c8cddb5c37a5c66d527786c2a44
-MeTTeMJBNc__7,918278,918278,0.31033632159233093,0.03453594357785882,False,aac,40716dc7402fd6398038eded58ce939ec76be6afbeea346b968bf4c427088f3a
-NFrJFQijFE__1,499112,499112,0.17591984570026398,0.03354211549381998,False,aac,d8fcf16c6eb51c56947ec3d0549c6f3bc7a0cf1fc5f5d89e8b38d4249a08db4f
-NFrJFQijFE__2,590792,590792,0.9338244795799255,0.09381931484049968,False,aac,a54a5c144a64f5abd26b19aafa6cea8142ee08e9385fa508fa70c934f6b616c1
-RfYyzHpjk4__11,447602,447602,0.13746799528598785,0.01749439471036185,False,aac,96e481cd732001239639c8cb4e7f94e570925e5a15940920ffab0cec1f13f904
-RfYyzHpjk4__2,475558,475558,0.2314652055501938,0.023724612115495303,False,aac,5e428ee22de58c9d6561b9b4353bef9dfb811a5841d9ab07b5bc453d697ad17f
-RfYyzHpjk4__8,399754,399754,0.14018964767456055,0.012641511319477862,False,aac,ed8c672c532b8c7d1c830c82d6e2c14fcb3bbd3dc1a86670a03a6c8e83c02f3c
-THoVjtIkeU__12,1305848,1305848,0.40868285298347473,0.05503206488384989,False,aac,e2f148f4f2e74724dc13b3ce870a0ce6a06740cfc224f5a9b3d0a870b196e7d4
