sample_id,word_index,word,reference_start_s,reference_end_s,review_status,confidence,reviewer,review_date,playback_rate,reviewer_note
-mJ2ud6oKI8__6,0,They,,,pending,,,,,
-mJ2ud6oKI8__6,1,are,,,pending,,,,,
-mJ2ud6oKI8__6,2,all,,,pending,,,,,
-mJ2ud6oKI8__6,3,very,,,pending,,,,,
-mJ2ud6oKI8__6,4,safe,,,pending,,,,,
-HwX2H8Z4hY__2,0,”,,,pending,,,,,
-HwX2H8Z4hY__2,1,[President,,,pending,,,,,
-HwX2H8Z4hY__2,2,Ronald,,,pending,,,,,
-HwX2H8Z4hY__2,3,Reagan:],,,pending,,,,,
-HwX2H8Z4hY__2,4,"""Look",,,pending,,,,,
-HwX2H8Z4hY__2,5,at,,,pending,,,,,
-HwX2H8Z4hY__2,6,the,,,pending,,,,,
-HwX2H8Z4hY__2,7,record,,,pending,,,,,
-s9qJ7ATP7w__1,0,But,,,pending,,,,,
-s9qJ7ATP7w__1,1,the,,,pending,,,,,
-s9qJ7ATP7w__1,2,hardest,,,pending,,,,,
-s9qJ7ATP7w__1,3,thing,,,pending,,,,,
-s9qJ7ATP7w__1,4,in,,,pending,,,,,
-s9qJ7ATP7w__1,5,life,,,pending,,,,,
-s9qJ7ATP7w__1,6,to,,,pending,,,,,
-s9qJ7ATP7w__1,7,"learn,",,,pending,,,,,
-s9qJ7ATP7w__1,8,is,,,pending,,,,,
-s9qJ7ATP7w__1,9,to,,,pending,,,,,
-s9qJ7ATP7w__1,10,lose,,,pending,,,,,
-iRBcNs9oI8__3,0,"Well,",,,pending,,,,,
-iRBcNs9oI8__3,1,it,,,pending,,,,,
-iRBcNs9oI8__3,2,is,,,pending,,,,,
-iRBcNs9oI8__3,3,the,,,pending,,,,,
-iRBcNs9oI8__3,4,secret,,,pending,,,,,
-iRBcNs9oI8__3,5,of,,,pending,,,,,
-iRBcNs9oI8__3,6,power,,,pending,,,,,
-iRBcNs9oI8__3,7,pose,,,pending,,,,,
-hnBHBN8p5A__6,0,"Discussion,",,,pending,,,,,
-hnBHBN8p5A__6,1,how,,,pending,,,,,
-hnBHBN8p5A__6,2,to,,,pending,,,,,
-hnBHBN8p5A__6,3,discuss,,,pending,,,,,
-hnBHBN8p5A__6,4,ideas,,,pending,,,,,
