model,dimensions,mae,r2,spearman
median_baseline,0,0.6033333423733711,-0.02918008056139021,-0.17397951411980134
mean_baseline,0,0.607666675776243,-0.0555410474910254,-0.2879214063753215
quality,3,0.613467218765902,-0.0895135251658763,-0.28907951475349647
framing,13,0.61169877925797,-0.08044158433478188,-0.19903526544357766
shape,23,0.6019465426363321,-0.047163756275545365,-0.14728110426118832
vision15,33,0.5981570785455269,-0.03554601726850737,-0.09402320495245506
text,768,0.5959516756056297,0.041957745342089514,0.2884194078362185
text_vision,801,0.6013239408004145,0.037368991223155956,0.32022316480796326
expression7,17,0.6071177456651996,-0.07402205055706967,-0.2600066716595086
geometry_expression,47,0.5978959030809898,-0.03927685472680609,-0.09395014884915091
text_expression,785,0.606360964079714,0.02239092102059892,0.2736316349257346
