variant,seed,rule,neutral_bias,condition,inconsistency_rate_all_conditions,accuracy,macro_f1,mae,pearson_r
T0,2026,unified,0,clean,0.0,0.5989010989010989,0.5737714863498483,0.5895854392713242,0.6357780750882025
T0,2026,unified,0,stress,0.0,0.5603954321311232,0.5395964505327584,0.629106690087973,0.5613390142254114
T0,2026,dual_raw,0,clean,0.3522239145310465,0.6263736263736264,0.6052242944976016,0.593197833150363,0.6422330041568531
T0,2026,dual_raw,0,stress,0.3522239145310465,0.579642691866678,0.5597385863296707,0.6337338814309134,0.5684081734468424
T0,2026,dual_calibrated,-0.1,clean,0.32205372712623886,0.6332417582417582,0.6078434451646869,0.593197833150363,0.6422330041568531
T0,2026,dual_calibrated,-0.1,stress,0.32205372712623886,0.5853900104688626,0.5623453234051192,0.6337338814309134,0.5684081734468424
T0,2027,unified,0,clean,0.0,0.5728021978021978,0.5503398448810363,0.5917997854751545,0.6292514398571827
T0,2027,unified,0,stress,0.0,0.5422927682734133,0.5163329603637484,0.6369424241933975,0.5565557688552705
T0,2027,dual_raw,0,clean,0.38159503785621257,0.5961538461538461,0.5846124024658597,0.6025926676431062,0.63613415522629
T0,2027,dual_raw,0,stress,0.38159503785621257,0.565828858091965,0.5497576626052989,0.6468662029859069,0.5647585828994498
T0,2027,dual_calibrated,-0.1,clean,0.35215327903229365,0.6085164835164835,0.590463768241546,0.6025926676431062,0.63613415522629
T0,2027,dual_calibrated,-0.1,stress,0.35215327903229365,0.5750307039718445,0.55466899279542,0.6468662029859069,0.5647585828994498
T0,2028,unified,0,clean,0.0,0.6016483516483516,0.5747097688372355,0.5862101621434583,0.6473239615533878
T0,2028,unified,0,stress,0.0,0.5644432041431269,0.5292178283198642,0.6321778808631442,0.5772596734495099
T0,2028,dual_raw,0,clean,0.37418272520583623,0.6346153846153846,0.6172125728249627,0.5979214061971416,0.6494855621731547
T0,2028,dual_raw,0,stress,0.37418272520583623,0.5857859326264351,0.5713728454071,0.6418242191683888,0.5836557180724686
T0,2028,dual_calibrated,0.1,clean,0.4005562545526787,0.635989010989011,0.6230275577825308,0.5979214061971416,0.6494855621731547
T0,2028,dual_calibrated,0.1,stress,0.4005562545526787,0.58251773075998,0.5706189603662144,0.6418242191683888,0.5836557180724686
T0,2029,unified,0,clean,0.0,0.5961538461538461,0.5796805589229046,0.586335596720596,0.6439328629683494
T0,2029,unified,0,stress,0.0,0.5611819969786468,0.5380679733457953,0.6356890457658566,0.5625044226358813
T0,2029,dual_raw,0,clean,0.20491799660066662,0.6304945054945055,0.5850811340711504,0.5935444672379943,0.652851123208203
T0,2029,dual_raw,0,stress,0.20491799660066662,0.5933519211636697,0.5488335944342868,0.6433366444564199,0.5704570807768466
T0,2029,dual_calibrated,0.3,clean,0.2840076816104894,0.6263736263736264,0.602577934573131,0.5935444672379943,0.652851123208203
T0,2029,dual_calibrated,0.3,stress,0.2840076816104894,0.5890497079727001,0.564221028913111,0.6433366444564199,0.5704570807768466
T0,2030,unified,0,clean,0.0,0.6195054945054945,0.5962992715570036,0.5852303033551345,0.6455892209024038
T0,2030,unified,0,stress,0.0,0.5759705564934143,0.5518916434010747,0.6265145486605562,0.568272030858385
T0,2030,dual_raw,0,clean,0.35066993355848397,0.6263736263736264,0.6094139166540026,0.5926520936114325,0.6456652125393001
T0,2030,dual_raw,0,stress,0.35066993355848397,0.5774635572545747,0.5552984490773516,0.6336514239512508,0.5710321414342814
T0,2030,dual_calibrated,0.0,clean,0.35066993355848397,0.6263736263736264,0.6094139166540026,0.5926520936114325,0.6456652125393001
T0,2030,dual_calibrated,0.0,stress,0.35066993355848397,0.5774635572545747,0.5552984490773516,0.6336514239512508,0.5710321414342814
T1,2026,unified,0,clean,0.0,0.592032967032967,0.5635363439340897,0.6042150359314221,0.6128638276668004
T1,2026,unified,0,stress,0.0,0.5699982125545993,0.5451682656659613,0.6313454912186391,0.5673739272366575
T1,2026,dual_raw,0,clean,0.3308125289715913,0.5879120879120879,0.5686713219047607,0.6098933113515979,0.6177428926393834
T1,2026,dual_raw,0,stress,0.3308125289715913,0.5720310534653393,0.5546949130302076,0.6370991498021202,0.5712274194382532
T1,2026,dual_calibrated,-0.3,clean,0.2593029159216829,0.6043956043956044,0.57531426545468,0.6098933113515979,0.6177428926393834
T1,2026,dual_calibrated,-0.3,stress,0.2593029159216829,0.5851367826126573,0.5569517967037857,0.6370991498021202,0.5712274194382532
T1,2027,unified,0,clean,0.0,0.5892857142857143,0.5668163209183289,0.5886346829625276,0.6212729485529213
T1,2027,unified,0,stress,0.0,0.5642606213023199,0.5485766861274279,0.618694466570145,0.5761429082238418
