variant,seed,condition,accuracy,macro_f1,mae,pearson_r
T0,2026,clean,0.5989010989010989,0.5737714863498483,0.5895854392713242,0.6357780750882025
T0,2026,stress,0.5603954321311232,0.5395964505327584,0.629106690087973,0.5613390142254114
T0,2027,clean,0.5728021978021978,0.5503398448810363,0.5917997854751545,0.6292514398571827
T0,2027,stress,0.5422927682734133,0.5163329603637484,0.6369424241933975,0.5565557688552705
T0,2028,clean,0.6016483516483516,0.5747097688372355,0.5862101621434583,0.6473239615533878
T0,2028,stress,0.5644432041431269,0.5292178283198642,0.6321778808631442,0.5772596734495099
T0,2029,clean,0.5961538461538461,0.5796805589229046,0.586335596720596,0.6439328629683494
T0,2029,stress,0.5611819969786468,0.5380679733457953,0.6356890457658566,0.5625044226358813
T0,2030,clean,0.6195054945054945,0.5962992715570036,0.5852303033551345,0.6455892209024038
T0,2030,stress,0.5759705564934143,0.5518916434010747,0.6265145486605562,0.568272030858385
T1,2026,clean,0.592032967032967,0.5635363439340897,0.6042150359314221,0.6128638276668004
T1,2026,stress,0.5699982125545993,0.5451682656659613,0.6313454912186391,0.5673739272366575
T1,2027,clean,0.5892857142857143,0.5668163209183289,0.5886346829625276,0.6212729485529213
T1,2027,stress,0.5642606213023199,0.5485766861274279,0.618694466570145,0.5761429082238418
T1,2028,clean,0.603021978021978,0.5958516746671585,0.5845623651294263,0.6451678301699972
T1,2028,stress,0.5728560102566433,0.5633471144292476,0.621345217181784,0.5944282701629916
T1,2029,clean,0.6002747252747253,0.5865228803574382,0.5922573780702366,0.6226867786538292
T1,2029,stress,0.570743137452339,0.5595864410741973,0.6225036798421844,0.5783252966990607
T1,2030,clean,0.6071428571428571,0.5782258450720724,0.5974308909377554,0.6351900710484362
T1,2030,stress,0.5743853495546065,0.5487971488270452,0.6233918914156955,0.5893102291820927
M0,2026,clean,0.5796703296703297,0.5671695372505984,0.6144052068037646,0.6014054656378073
M0,2026,stress,0.5405463864109574,0.5245510557894973,0.6553368864690196,0.5282070129207854
M0,2027,clean,0.5947802197802198,0.5826996032880889,0.613036185994253,0.6193081357550357
M0,2027,stress,0.5505164058187217,0.5388791194613846,0.6624159913476532,0.5411235865023606
M0,2028,clean,0.5947802197802198,0.5720934255900093,0.6233712199379454,0.6131670958085749
M0,2028,stress,0.5489285911492611,0.5279602099341967,0.6568517203364981,0.549888075692193
M0,2029,clean,0.6043956043956044,0.5710015805375199,0.6144304925801007,0.6088015265320006
M0,2029,stress,0.5573291144425843,0.5204662746040134,0.6573431977050204,0.5337285379356789
M0,2030,clean,0.5728021978021978,0.5562221308378187,0.6156781636751615,0.5984968381558423
M0,2030,stress,0.5447935252582772,0.5237374636888316,0.6597188420019436,0.5214213304634683
M1,2026,clean,0.5782967032967034,0.5452080404735231,0.6139737399970437,0.6149941799422645
M1,2026,stress,0.5567364842636482,0.5195050543642814,0.6416546721327697,0.575373671266571
M1,2027,clean,0.5769230769230769,0.5548895627971171,0.6189251145614045,0.5726090151753933
M1,2027,stress,0.5496024692028345,0.5221981521066286,0.6547799086935998,0.5250310172924338
M1,2028,clean,0.5576923076923077,0.542487364574005,0.6236618353401894,0.5858438965633643
M1,2028,stress,0.5385400819027238,0.5232981175402998,0.6464737577722965,0.5476374090877888
M1,2029,clean,0.5631868131868132,0.5493910414662015,0.6087387579974237,0.6004341842090478
M1,2029,stress,0.5428468860428596,0.5294628887606081,0.6473289970495641,0.5525283143043915
M1,2030,clean,0.5755494505494505,0.5671949865498253,0.6062603391870692,0.6034647888863719
M1,2030,stress,0.5518763770837477,0.5408726644727715,0.6508727032557593,0.5510792345904837
M2,2026,clean,0.5989010989010989,0.577272733143155,0.6213056989791956,0.6086057259587135
M2,2026,stress,0.5551561802731839,0.5331654298496653,0.6605678669807096,0.5424495195494574
M2,2027,clean,0.592032967032967,0.5791065496554118,0.6218207851052284,0.597041852793117
M2,2027,stress,0.5468178930212284,0.535958383913027,0.6614376764184748,0.5290801516426744
M2,2028,clean,0.6167582417582418,0.5903718307251469,0.6115699356810732,0.6093550152725926
M2,2028,stress,0.5664318501848025,0.5386322591811423,0.6583098871503491,0.5409347325184063
M2,2029,clean,0.6002747252747253,0.5934928363394981,0.5934151406553421,0.6216189780305981
M2,2029,stress,0.5453435358705601,0.5381595578458166,0.6411813578865126,0.5443295970760675
M2,2030,clean,0.5947802197802198,0.5766309120665265,0.6134480416651938,0.611987504420515
M2,2030,stress,0.5678441417076784,0.5472867228048586,0.650827058617447,0.5473356018956484
M3,2026,clean,0.5796703296703297,0.5608017816527852,0.6319047608054601,0.5948759504570155
M3,2026,stress,0.5524990211689566,0.5340904599716875,0.6693061059694994,0.5434244720640308
M3,2027,clean,0.5837912087912088,0.5657061241793078,0.6103013909861936,0.5972840434802783
M3,2027,stress,0.5561255922303985,0.5379323781958594,0.6408592549561916,0.5476197979558283
M3,2028,clean,0.5879120879120879,0.559384557509323,0.6149892691154402,0.5928735875137501
M3,2028,stress,0.5506748378961848,0.5230615733674098,0.6487691842962148,0.5381290246577688
M3,2029,clean,0.5508241758241759,0.5439253102213272,0.6237531184822649,0.6143833922176379
M3,2029,stress,0.5334354132587648,0.5262132488475857,0.6513383961893754,0.5757918865977864
M3,2030,clean,0.5728021978021978,0.5503358046509603,0.6118861568252464,0.6161211198019344
M3,2030,stress,0.5502316702858588,0.5265416227592596,0.6581839803113659,0.559103678068305
