variant,condition,seeds,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,mae_mean,mae_sd,pearson_r_mean,pearson_r_sd
T0,clean,5,0.5978021978021978,0.016693940771889404,0.5749601861096056,0.016471759206048875,0.5878322573931335,0.0027593602865175365,0.6403751120739052,0.007632166534213168
T0,stress,5,0.560856791603945,0.012106091621068073,0.5350213711926483,0.013207545468597204,0.6320861179141856,0.004373002239316238,0.5651861820048916,0.007933602951682415
T1,clean,5,0.5983516483516483,0.007498540694481391,0.5781906129898176,0.013467211497199122,0.5934200706062736,0.007670213348588,0.6274362912183968,0.012722322229260195
T1,stress,5,0.5704486662241016,0.003868924356404036,0.5530951312247758,0.007889303828007191,0.6234561492456896,0.0047508604452372195,0.5811161263009289,0.010790344749616933
M0,clean,5,0.5892857142857142,0.01277546376218287,0.5698372555008071,0.009544295247878861,0.616184253798245,0.004124912939179757,0.6082358123778522,0.008496104831531097
M0,stress,5,0.5484228046159604,0.006308148958638672,0.5271188246955847,0.0070939397416417815,0.6583333275720269,0.002772272090633423,0.5348737087028972,0.011081684412031638
M1,clean,5,0.5703296703296703,0.00928595812151404,0.5518341991721344,0.00977915322795797,0.6143119574166261,0.0071537566168341825,0.5954692129552883,0.016469971676079522
M1,stress,5,0.5479204596991628,0.007244538713672042,0.5270673754489179,0.008535658006043395,0.6482220077807979,0.004924834886960534,0.5503299293083337,0.017887621282564457
M2,clean,5,0.6005494505494505,0.009634987866346267,0.5833749723859476,0.007941446712913885,0.6123119204172067,0.011513428667043517,0.6097218152951072,0.00878688618173342
M2,stress,5,0.5563187202114908,0.010573346516674331,0.5386404707189019,0.005295249803097608,0.6544647694106985,0.008519626225019481,0.5408259205364507,0.0069868215484761775
M3,clean,5,0.575,0.014621218781027658,0.5560307156427408,0.008754965849573684,0.6185669392429209,0.009090459344477626,0.6031076186941232,0.01121276130213434
M3,stress,5,0.5485933069680328,0.008785907348710029,0.5295678566283605,0.006187939251464937,0.6536913843445294,0.010705502103585654,0.5528137718687438,0.014986116850116556
