variant,seed,mask_seed,missing_mode,position,span_fraction,n,infeasible_n,naturally_absent_n,support_negative,support_neutral,support_positive,mean_removed_steps_per_target_modality,actual_removed_observation_rate,actual_span_fraction,unique_mask_realizations_mean,one_feasible_start_n,accuracy,macro_f1,mae,pearson_r,delta_mae,delta_macro_f1
T0,2026,5101,text,early,0.15,724,4,0,206,181,337,3.546961325966851,0.15173924326471158,0.15173924326471158,3.5331491712707184,6,0.574585635359116,0.5516560579907706,0.6147888585595794,0.579776516728378,0.02410736066695729,-0.025704535528128125
T0,2026,5101,text,early,0.35,724,4,0,206,181,337,8.319060773480663,0.3515275190944247,0.3515275190944247,2.8853591160220993,22,0.5511049723756906,0.52675155498843,0.6436573123322666,0.5278222006498424,0.0529758144396445,-0.05060903853046872
T0,2026,5101,text,early,0.55,720,8,0,205,179,336,13.079166666666667,0.5495421643079805,0.5495421643079805,1.6833333333333333,277,0.5083333333333333,0.49019737650056794,0.6870548243323962,0.43107301891591654,0.09622214014331498,-0.08871714116127194
T0,2026,5101,text,middle,0.15,723,5,0,206,181,336,3.5504840940525586,0.15125755480449682,0.15125755480449682,3.5933609958506225,9,0.5712309820193637,0.5428286685157836,0.6259745195569834,0.5722163779771771,0.034488633522354206,-0.03424434580373281
T0,2026,5101,text,middle,0.35,723,5,0,206,181,336,8.329183955739973,0.35132216296592456,0.35132216296592456,3.659751037344398,4,0.5601659751037344,0.5402894811662432,0.652051022953842,0.5154647199572008,0.060565136919212836,-0.03678353315327321
T0,2026,5101,text,middle,0.55,723,5,0,206,181,336,13.034578146611342,0.5502586790711101,0.5502586790711101,3.680497925311203,10,0.4896265560165975,0.4786749673482287,0.6899338302770591,0.42072280047968097,0.09844794424242997,-0.09839804697128773
T0,2026,5101,text,late,0.15,724,4,0,206,181,337,3.546961325966851,0.15173924326471158,0.15173924326471158,3.546961325966851,6,0.56353591160221,0.5493993993993994,0.620117080001706,0.5673724722889347,0.029435582109083813,-0.027961194119499266
T0,2026,5101,text,late,0.35,724,4,0,206,181,337,8.319060773480663,0.3515275190944247,0.3515275190944247,2.9917127071823204,11,0.5179558011049724,0.5146070080210079,0.6512197258352246,0.5314902556916151,0.06053822794260244,-0.06275358549789078
T0,2026,5101,text,late,0.55,724,4,0,206,181,337,13.017955801104973,0.5501892610060948,0.5501892610060948,1.830110497237569,201,0.47099447513812154,0.4633415556210956,0.7007882459840392,0.41719332122802405,0.11010674809141707,-0.1140190378978031
T0,2026,5101,audio,early,0.15,723,5,0,206,180,337,3.5421853388658366,0.15174741188149082,0.15174741188149082,3.4398340248962658,6,0.6016597510373444,0.5763870471957366,0.5914984847500117,0.636493370537716,0.0,0.0
T0,2026,5101,audio,early,0.35,723,5,0,206,180,337,8.307053941908714,0.3515238688211574,0.3515238688211574,2.9156293222683263,22,0.6016597510373444,0.5763870471957366,0.5914984847500117,0.636493370537716,0.0,0.0
T0,2026,5101,audio,early,0.55,719,9,0,205,178,336,13.061196105702365,0.5495531177122104,0.5495531177122104,1.7023643949930458,277,0.6036161335187761,0.577928995247746,0.5916544264480368,0.6373769815619422,0.0,0.0
T0,2026,5101,audio,middle,0.15,722,6,0,206,180,336,3.5457063711911356,0.1512650675766175,0.1512650675766175,3.6315789473684212,9,0.6011080332409973,0.5760994679963543,0.592305118563763,0.6364759552717802,0.0,0.0
T0,2026,5101,audio,middle,0.35,722,6,0,206,180,336,8.317174515235457,0.35131822321010636,0.35131822321010636,3.660664819944598,4,0.6011080332409973,0.5760994679963543,0.592305118563763,0.6364759552717802,0.0,0.0
T0,2026,5101,audio,middle,0.55,722,6,0,206,180,336,13.016620498614959,0.5502705793652991,0.5502705793652991,3.662049861495845,10,0.6011080332409973,0.5760994679963543,0.592305118563763,0.6364759552717802,0.0,0.0
T0,2026,5101,audio,late,0.15,724,4,0,206,181,337,3.5386740331491713,0.15222842374353296,0.15173924326471158,3.505524861878453,7,0.6022099447513812,0.5773605935188987,0.5906814978926221,0.6365084502548984,0.0,0.0
T0,2026,5101,audio,late,0.35,724,4,0,206,181,337,8.296961325966851,0.35172894635040997,0.3515275190944247,2.99585635359116,12,0.6022099447513812,0.5773605935188987,0.5906814978926221,0.6365084502548984,0.0,0.0
T0,2026,5101,audio,late,0.55,724,4,0,206,181,337,12.98342541436464,0.5501317103615276,0.5501892610060948,1.8439226519337018,202,0.6022099447513812,0.5773605935188987,0.5906814978926221,0.6365084502548984,0.0,0.0
T0,2026,5101,vision,early,0.15,695,33,15,201,174,320,3.515107913669065,0.1556256739044937,0.15162910284899678,3.4532374100719423,9,0.5985611510791367,0.5737140667570815,0.593293422331913,0.6365204618554369,0.0,0.0
T0,2026,5101,vision,early,0.35,696,32,15,200,174,322,8.193965517241379,0.35492286296002323,0.3514217322550645,2.961206896551724,24,0.5991379310344828,0.5735579479000531,0.593547982559807,0.6352622020760248,0.0,0.0
T0,2026,5101,vision,early,0.55,691,37,15,199,172,320,12.876989869753979,0.5522874634042524,0.5496021750273932,1.6772793053545587,266,0.6005788712011577,0.5748432267884322,0.5947166997427188,0.6357676902470888,0.0,0.0
T0,2026,5101,vision,middle,0.15,695,33,15,199,174,322,3.5064748201438847,0.15461032567237445,0.15107957931924487,3.646043165467626,10,0.5985611510791367,0.5734684817825142,0.5948819428039112,0.6360417621577845,0.0,0.0
T0,2026,5101,vision,middle,0.35,700,28,15,202,174,324,8.11,0.3520234132096154,0.35117329220756244,3.6585714285714284,8,0.5985714285714285,0.5736260358185871,0.5955106531296458,0.6356467048904482,0.0,0.0
T0,2026,5101,vision,middle,0.55,698,30,15,202,174,322,12.727793696275072,0.5494843643269917,0.5503155263821218,3.6074498567335245,11,0.5988538681948424,0.574044439181765,0.5961770386699278,0.635824289800067,0.0,0.0
T0,2026,5101,vision,late,0.15,692,36,15,199,173,320,3.4927745664739884,0.15513343240949812,0.1516506529271782,3.4826589595375723,7,0.5982658959537572,0.5738000765372918,0.594834052629209,0.6329116488028831,0.0,0.0
T0,2026,5101,vision,late,0.35,699,29,15,200,175,324,8.090128755364807,0.35176745422357486,0.351272858380252,2.9799713876967098,18,0.597997138769671,0.5724154351819463,0.5960082239944365,0.6348356009891865,0.0,0.0
T0,2026,5101,vision,late,0.55,699,29,15,200,175,324,12.65236051502146,0.5484280677684874,0.5502762229921914,1.8640915593705294,194,0.597997138769671,0.5724154351819463,0.5955313522587177,0.6350543609658318,0.0,0.0
T0,2026,5101,text+audio,early,0.15,723,5,0,206,180,337,3.5421853388658366,0.15174741188149082,0.15174741188149082,3.479944674965422,6,0.5767634854771784,0.5493138838453344,0.6149308522377436,0.5898130054302019,0.02343236748773192,-0.02707316335040222
T0,2026,5101,text+audio,early,0.35,723,5,0,206,180,337,8.307053941908714,0.3515238688211574,0.3515238688211574,2.876901798063624,22,0.5255878284923928,0.49977945056646833,0.6525457616622352,0.5073696894141133,0.06104727691222356,-0.0766075966292683
T0,2026,5101,text+audio,early,0.55,719,9,0,205,178,336,13.061196105702365,0.5495531177122104,0.5495531177122104,1.698191933240612,277,0.502086230876217,0.4816900498152039,0.6904716943915264,0.42327049253628424,0.09881726794348966,-0.09623894543254208
T0,2026,5101,text+audio,middle,0.15,722,6,0,206,180,336,3.5457063711911356,0.15126506757661753,0.1512650675766175,3.6274238227146816,9,0.5844875346260388,0.5566757819537729,0.6104339904814876,0.6015362407519655,0.01812887191772461,-0.01942368604258138
