left,right,metric,difference,ci_low,ci_high,bootstrap_repeats,group_count,condition,interval_excludes_zero
M3,M2,accuracy,-0.00772541324345799,-0.019519120454788208,0.0034978896379470707,2000,239,stress grid mean,False
M3,M2,macro_f1,-0.009072614090541387,-0.02096797078847885,0.002108253538608538,2000,239,stress grid mean,False
M3,M2,mae,-0.0007733850661690855,-0.013368183374404907,0.01261429041624069,2000,239,stress grid mean,False
M3,M2,pearson_r,0.011987851332293076,-0.00972050428390503,0.03188983500003815,2000,239,stress grid mean,False
M3,M1,accuracy,0.0006728472688699583,-0.009492526948451995,0.010944192111492154,2000,239,stress grid mean,False
M3,M1,macro_f1,0.0025004811794425708,-0.007820120453834534,0.013050809502601622,2000,239,stress grid mean,False
M3,M1,mae,0.005469376563731587,-0.005845679342746735,0.015536803007125838,2000,239,stress grid mean,False
M3,M1,pearson_r,0.002483842560410121,-0.01263285130262375,0.018890920281410217,2000,239,stress grid mean,False
M3,T1,accuracy,-0.02185535925606885,-0.039248374104499814,-0.004739609360694887,2000,239,stress grid mean,True
M3,T1,macro_f1,-0.02352727459641535,-0.04193955659866333,-0.005698156356811528,2000,239,stress grid mean,True
M3,T1,mae,0.030235235098839852,0.0144858255982399,0.047263351082801816,2000,239,stress grid mean,True
M3,T1,pearson_r,-0.028302354432185095,-0.05354505032300949,-0.003965330123901382,2000,239,stress grid mean,True
M1,M0,accuracy,-0.0005023449167975702,-0.013503696024417877,0.011449502408504482,2000,239,stress grid mean,False
M1,M0,macro_f1,-5.14492466667793e-05,-0.014005382359027863,0.013103862106800071,2000,239,stress grid mean,False
M1,M0,mae,-0.010111319791229034,-0.02261926978826523,0.002515873312950114,2000,239,stress grid mean,False
M1,M0,pearson_r,0.0154562206054365,-0.004938974976539612,0.03571215271949768,2000,239,stress grid mean,False
M2,M0,accuracy,0.007895915595530378,-0.003505276143550873,0.019510877132415765,2000,239,stress grid mean,False
M2,M0,macro_f1,0.011521646023317178,-0.0004161611199378967,0.023665016889572142,2000,239,stress grid mean,False
M2,M0,mae,-0.0038685581613283615,-0.01820673644542694,0.010657574236392972,2000,239,stress grid mean,False
M2,M0,pearson_r,0.0059522118335535446,-0.017007483541965483,0.029540753364562973,2000,239,stress grid mean,False
T1,T0,accuracy,0.009591874620156648,-0.002328583598136902,0.021005952358245844,2000,239,stress grid mean,False
T1,T0,macro_f1,0.018073760032127573,0.005911321938037873,0.029417277872562406,2000,239,stress grid mean,True
T1,T0,mae,-0.008629968668495969,-0.02466305047273636,0.0074517413973808205,2000,239,stress grid mean,False
T1,T0,pearson_r,0.015929944296037335,-0.010708899796009063,0.04214061945676804,2000,239,stress grid mean,False
