variant,seed,mask_seed,grid_index,n,accuracy,macro_f1,mae,pearson_r
T0,2026,5101,0,679,0.572901325478645,0.5502017024127871,0.6194238815681573,0.5732238242169959
T0,2026,5101,1,679,0.5493372606774669,0.5252804842958811,0.6434428065532437,0.5246459935479145
T0,2026,5101,2,679,0.5095729013254786,0.4927374264993155,0.6875973000617722,0.4253983660374786
T0,2026,5101,3,679,0.5743740795287187,0.5475513036488646,0.6240253308911387,0.5781400720033488
T0,2026,5101,4,679,0.561119293078056,0.5421302668840254,0.6569640343687847,0.5052388351239832
T0,2026,5101,5,679,0.49189985272459497,0.480358895029837,0.6902670032497007,0.416089206387805
T0,2026,5101,6,679,0.5625920471281296,0.5477067681043092,0.6222930112099261,0.5644891621906586
T0,2026,5101,7,679,0.5213549337260678,0.5169865143562035,0.6515452885048378,0.5386369161846751
T0,2026,5101,8,679,0.47717231222385864,0.46909812376801063,0.7002567346475261,0.419540420039369
T0,2026,5101,9,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,10,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,11,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,12,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,13,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,14,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,15,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,16,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,17,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,18,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,19,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,20,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,21,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,22,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,23,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,24,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,25,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
